session_id,worker_id,order_id,model,prompt,sequence_id,question_id,question_type,question_category,question_text,choice_a,choice_b,choice_c,choice_d,answer,answer_text,lm_used,user_queries,user_query_types,lm_responses,user_answer,user_correct,elapsed_time,num_queries,num_events
000dc2393b854047a00caad996a7dce5,f3cce8c83fed3f1d9216ea35efa1d765,10,InstructDavinci,19,19,22,lm,Nutrition,What is the basic functional unit of skeletal muscle tissue?,the muscle fibre,the sarcomere,the myofibril,the sarcoplasmic reticulum,b,the sarcomere,1,['What is the functional unit of skeletal muscle tissue?'],['close;question'],['The functional unit of skeletal muscle tissue is the muscle fiber.'],a,0,0.57,1,65
008ab86e48b84805b4e88b2b5eb4a6c0,02aeb27d49ed2e3f43fa27e7add5c391,0,Jumbo,34,34,16,lm,US foreign policy,What were the 'open-door notes'?,An American declaration that the US was always open to Chinese immigration,"An American proclamation that China should be divided up between the US, Japan and the European empires",An American proclamation that China should be open to US trade and missionaries,An American declaration of support for Chinese economic protectionism,c,An American proclamation that China should be open to US trade and missionaries,1,"['Open-door notes', 'Open-door notes when it comes to countries']","['keyword', 'others']","[""are a way of sharing information about your child's day with you.\nOpen-door notes are a way of sharing information about your child's day with you. The notes are written by your child's teacher, and are posted on a board in your child's classroom.\nThe notes are a way of sharing information about your child's day with you. The notes are written by your child's teacher, and are posted on a board in your child's classroom.\nYour child's teacher is writing the notes to provide information to you about your child's day, and to keep you informed of your child's progress.\nThe notes are a way of sharing information about your child's"", ', the Republic of Belarus is a country that is shrouded in mystery. The people are very friendly and hospitable, and the country is rich in history and culture. The capital of Belarus is Minsk, and the country borders Russia, Ukraine, Poland and Lithuania.\nBelarus is a country that is steeped in history. There are over 70 castles and 400 museums in the country. The castles and museums are well preserved and will give you a glimpse into the past.\nThe castles and museums are well preserved and will give you a glimpse into the past.\nThe capital city of Belarus is Minsk. There are over 2 million people in Minsk, and the city is a modern']",b,0,1.08,2,67
008ab86e48b84805b4e88b2b5eb4a6c0,02aeb27d49ed2e3f43fa27e7add5c391,1,Jumbo,34,34,0,lm,Miscellany,During what war did Francis Scott Key write the words to 'The Star-Spangled Banner'?,American Revolution,War of 1812,Civil War,World War I,b,War of 1812,1,['Star spangled banner war'],['keyword'],"['of 1812 essay\n\nStar spangled banner war of 1812 essay, The star spangled banner war of 1812 essay 1 february 2013 1 star spangled banner war of 1812 essay.\n\nWar of 1812 essay - order custom written essays, research papers, term papers, thesis papers, dissertations and more. The star spangled banner war of 1812 essay - put out a little time and money to receive the essay you could not even dream about order the. The star spangled banner war of 1812 essay -']",b,1,0.35,1,30
008ab86e48b84805b4e88b2b5eb4a6c0,02aeb27d49ed2e3f43fa27e7add5c391,2,Jumbo,34,34,14,lm,US foreign policy,"Within the United Nations, real power is located in",the Security Council.,the Chamber of Deputies.,the Council of Ministers.,the Secretariat.,a,the Security Council.,1,"['power of the UN is in what area', 'United Nations power location', 'United Nations real power']","['others', 'keyword', 'keyword']","[""?\nthe UN is _______________________.\nthe UN has _________________________.\nthe UN's main function is to _________________________.\nthe UN's main purpose is _________________________.\nthe UN's main task is to _________________________."", 'map (UN, 2018).\nThe United Nations, founded in 1945, is the world’s foremost intergovernmental organization. It is currently made up of 193 Member States, including 193 countries, 2 permanent observers, 11 non-member states, and 10 intergovernmental organizations.\nThe United Nations Security Council (UNSC) is the UN’s principal organ for the maintenance of international peace and security. The 15-member Council has the power to make decisions that member states are obliged to carry out.\nThe Economic and Social Council (ECOSOC) is the UN’s principal organ for coordination,', 'lies in the General Assembly, which has the power to create or abolish any UN body. All members, including the United States, have an equal vote in the General Assembly.\n\nHowever, the United States, as a permanent member of the Security Council, has the power to veto any resolution. The General Assembly can override a veto with a two-thirds vote, but that has never happened.\n\nThe Security Council has three permanent members — the United States, the United Kingdom, and France — and 10 rotating members.\n\nThe General Assembly, which meets in September, can elect new members to the Security Council.\n\n""The General Assembly has elected 10 new']",a,1,1.13,3,102
008ab86e48b84805b4e88b2b5eb4a6c0,02aeb27d49ed2e3f43fa27e7add5c391,3,Jumbo,34,34,19,lm,Nutrition,The supplementation of diet with which fat soluble vitamins has been shown to reduce cardiovascular disease?,Vitamin A and D,Vitamin A and K,Vitamin D and E,None of the above,d,None of the above,1,['soluble vitamins that reduce heart disease'],['others'],['risk\n\nVitamins that reduce heart disease risk\n\nThe vitamins that reduce heart disease risk are soluble vitamins. They dissolve in water and disperse throughout the body.\n\nWhat are soluble vitamins?\n\nThey are vitamins that dissolve in water and disperse throughout the body. They are easily absorbed.\n\nVitamin deficiencies\n\nVitamin deficiencies are most common in underdeveloped countries. They are caused by poor nutrition.\n\nVitamin deficiencies\n\nVitamin deficiencies are most common in underdeveloped countries. They are caused by poor nutrition.\n\nVitamins that reduce heart disease risk\n\nThe'],c,0,0.72,1,67
008ab86e48b84805b4e88b2b5eb4a6c0,02aeb27d49ed2e3f43fa27e7add5c391,4,Jumbo,34,34,24,lm,College chemistry,Cobalt-60 is used in the radiation therapy of cancer and can be produced by bombardment of cobalt-59 with which of the following?,Neutrons,Alpha particles,Beta particles,X-rays,a,Neutrons,1,['cobalt-59 bombardment'],['keyword'],"['of the (6)Li(p, n)(6)Li reaction.\nThe (6)Li(p, n)(6)Li reaction has been studied at 0.5 MeV in the energy range 0.1-1.0 MeV (E(2) = 0.5 MeV). The (6)Li(p, n)(6)Li reaction has been used to bombard a (6)Li target with (59']",b,0,0.5,1,29
008ab86e48b84805b4e88b2b5eb4a6c0,02aeb27d49ed2e3f43fa27e7add5c391,5,Jumbo,34,34,30,attn,attention,"Attention Check Question! Please select the answer that says ""Pick Me! :)"".",Blue,Carrot,Pick Me! :),Gold,c,Pick Me! :),0,[],[],[],c,1,0.01,0,2
008ab86e48b84805b4e88b2b5eb4a6c0,02aeb27d49ed2e3f43fa27e7add5c391,6,Jumbo,34,34,20,ctrl,Nutrition,"When using bioelectrical impedance for measuring body composition, why does an electrical current travel faster through muscle than it does through fat?",Muscle contains less water than fat,Muscle contains more water than fat,Muscle weighs more than fat,Muscle weighs less than fat,b,Muscle contains more water than fat,0,[],[],[],b,1,0.11,0,2
008ab86e48b84805b4e88b2b5eb4a6c0,02aeb27d49ed2e3f43fa27e7add5c391,7,Jumbo,34,34,11,ctrl,Global facts,Which of the following is not an element of the redistribution-with-growth policy approach?,minimum wage legislation,land reform,progressive taxation,increased access to education,a,minimum wage legislation,0,[],[],[],c,0,0.01,0,2
008ab86e48b84805b4e88b2b5eb4a6c0,02aeb27d49ed2e3f43fa27e7add5c391,8,Jumbo,34,34,1,ctrl,Miscellany,What are the names of Donald Duck's three nephews?,Quick Quack Quock,Alvin Simon Theodore,Robbie Chip Ernie,Huey Dewey Louie,d,Huey Dewey Louie,0,[],[],[],c,0,0.01,0,2
008ab86e48b84805b4e88b2b5eb4a6c0,02aeb27d49ed2e3f43fa27e7add5c391,9,Jumbo,34,34,26,ctrl,College chemistry,Which of the following is the most common naturally-occurring form in which silicon is found?,Metallic element,Sulfide,Fluoride,Oxide,d,Oxide,0,[],[],[],d,1,0.11,0,2
008ab86e48b84805b4e88b2b5eb4a6c0,02aeb27d49ed2e3f43fa27e7add5c391,10,Jumbo,34,34,9,ctrl,Global facts,"As of 2017, the share of GDP spent on the military by Saudi Arabia is about",1%,3%,6%,10%,d,10%,0,[],[],[],c,0,5.09,0,3
03c9278f29d14b009f1639a7c121e0b1,ec08b68e1525971ed114f30e0548c145,0,Davinci,32,32,11,ctrl,Global facts,Which of the following is not an element of the redistribution-with-growth policy approach?,minimum wage legislation,land reform,progressive taxation,increased access to education,a,minimum wage legislation,0,[],[],[],c,0,0.76,0,4
03c9278f29d14b009f1639a7c121e0b1,ec08b68e1525971ed114f30e0548c145,1,Davinci,32,32,14,ctrl,US foreign policy,"Within the United Nations, real power is located in",the Security Council.,the Chamber of Deputies.,the Council of Ministers.,the Secretariat.,a,the Security Council.,0,[],[],[],b,0,0.01,0,2
03c9278f29d14b009f1639a7c121e0b1,ec08b68e1525971ed114f30e0548c145,2,Davinci,32,32,7,ctrl,Global facts,Before Nixon resigned how many believed he should be removed from office?,79%,98%,33%,57%,d,57%,0,[],[],[],a,0,0.02,0,2
03c9278f29d14b009f1639a7c121e0b1,ec08b68e1525971ed114f30e0548c145,3,Davinci,32,32,15,ctrl,US foreign policy,"International trade will almost always benefit both countries, so why do countries try to protect their own firms from exposure to the world market?",Irrationality on the part of the leadership,"Costs of free trade are concentrated, but benefits are dispersed",Regime type,International conflict prevents trade,b,"Costs of free trade are concentrated, but benefits are dispersed",0,[],[],[],b,1,0.37,0,5
03c9278f29d14b009f1639a7c121e0b1,ec08b68e1525971ed114f30e0548c145,4,Davinci,32,32,26,ctrl,College chemistry,Which of the following is the most common naturally-occurring form in which silicon is found?,Metallic element,Sulfide,Fluoride,Oxide,d,Oxide,0,[],[],[],b,0,0.09,0,2
03c9278f29d14b009f1639a7c121e0b1,ec08b68e1525971ed114f30e0548c145,5,Davinci,32,32,30,attn,attention,"Attention Check Question! Please select the answer that says ""Pick Me! :)"".",Blue,Carrot,Pick Me! :),Gold,c,Pick Me! :),0,[],[],[],c,1,0.01,0,2
03c9278f29d14b009f1639a7c121e0b1,ec08b68e1525971ed114f30e0548c145,6,Davinci,32,32,22,lm,Nutrition,What is the basic functional unit of skeletal muscle tissue?,the muscle fibre,the sarcomere,the myofibril,the sarcoplasmic reticulum,b,the sarcomere,1,['The basic functional unit of skeletal muscle tissue is what?'],['close;question'],['A. Myofibril\n\nB. Myofilaments\n\nC. Sarcomere\n\nD. Myocyte\n\nE. Muscle cell\n\nAnswer: A\n\nExplanation:\n\nThe basic functional unit of skeletal muscle tissue is the myofibril.\n\nReference:\n\nhttps://www.ncbi.nlm.nih.gov/books/NBK1278/\n\nQuestion No: 40\n\nWhich of'],c,0,0.66,1,90
03c9278f29d14b009f1639a7c121e0b1,ec08b68e1525971ed114f30e0548c145,7,Davinci,32,32,19,lm,Nutrition,The supplementation of diet with which fat soluble vitamins has been shown to reduce cardiovascular disease?,Vitamin A and D,Vitamin A and K,Vitamin D and E,None of the above,d,None of the above,1,"['What vitamins reduce cardiovascular disease?', 'Vitamin D and cardiovascular disease']","['question', 'keyword']","['According to the American Heart Association, vitamin E is the only vitamin that reduces the risk of cardiovascular disease.\n\nVitamin E is a fat-soluble vitamin that functions as an antioxidant. It protects cell membranes from oxidative damage and is important in the prevention of atherosclerosis, which is the build-up of plaque in the arteries.\n\nThe American Heart Association recommends that adults consume 15 milligrams of vitamin E daily.\n\nBenefits of Vitamin E\n\nVitamin', 'Vitamin D and cancer\n\nVitamin D and infectious disease\n\nVitamin D and mental health\n\nVitamin D and physical performance\n\nVitamin D and muscle function\n\nVitamin D and immunity\n\nVitamin D and ageing\n\nVitamin D and bone health\n\nVitamin D and pregnancy\n\nVitamin D and children\n\nVitamin D and obesity\n\nVitamin D and diabetes\n\nVitamin D and dental health\n\nVitamin']",c,0,1.14,2,154
03c9278f29d14b009f1639a7c121e0b1,ec08b68e1525971ed114f30e0548c145,8,Davinci,32,32,3,lm,Miscellany,Which of these is a government agency established to protect investors?,AAA,NBA,SEC,MADD,c,SEC,1,['What government agency protects investors?'],['close;question'],"[""The Securities and Exchange Commission (SEC) is the federal agency that protects investors. The SEC receives a lot of criticism from the investing public, but the agency has been instrumental in bringing about significant changes in the market.\n\nThe SEC is responsible for:\n\nInvestor education\n\nProtecting investors from scams\n\nInvestigating potential violations of the securities laws\n\nEnforcing the federal securities laws\n\nThe SEC's enforcement program is divided into six regional offices. Each regional office is""]",c,1,0.49,1,62
03c9278f29d14b009f1639a7c121e0b1,ec08b68e1525971ed114f30e0548c145,9,Davinci,32,32,28,lm,College chemistry,A buffer is made from equal concentrations of a weak acid and its conjugate base. Doubling the volume of the buffer solution by adding water has what effect on its pH?,It has little effect.,It significantly increases the pH.,It significantly decreases the pH.,It changes the pH asymptotically to the pKa of the acid.,a,It has little effect.,1,"['What effect does doubling the volume of the buffer solution by adding water effect its pH', 'what happens if you double the volume of a buffer solution by adding water', 'Adding water to buffer solution pH', 'Adding water to buffer solution pH pKa of the acid', 'Adding water to buffer solution pH']","['question', 'question', 'others', 'others', 'others']","['How does the pH of a buffer solution change when the concentration of the acid or base is doubled\n\nHow does the pH of a buffer solution change when the concentration of the acid or base is halved\n\nHow does the pH of a buffer solution change when the concentration of the acid or base is increased by a factor of four\n\nHow does the pH of a buffer solution change when the concentration of the acid or base is decreased by a factor of four\n\nHow does the pH', 'what happens if you add water to a buffer solution\n\nwhat happens if you add water to a buffer solution\n\nwhat happens if you add water to a buffer solution\n\nwhat happens if you add water to a buffer solution\n\nwhat happens if you add water to a buffer solution\n\nwhat happens if you add water to a buffer solution\n\nwhat happens if you add water to a buffer solution\n\nwhat happens if you add water to a buffer solution\n\nwhat happens if', 'To make the pH of the buffer solution, we have to add a little water to the buffer solution. It is important to add water slowly to the buffer solution so that the buffer solution does not get diluted. The buffer solution is a very concentrated solution and the pH of the buffer solution is close to 10.0. To make the pH of the buffer solution closer to 7.0, we have to add a little water to the buffer solution. The buffer solution is made up of 0', 'pH of the solution\n\n\n\npH of the solution\n\n\n\npH of the solution\n\n\n\npH of the solution\n\n\n\npH of the solution\n\n\n\npH of the solution\n\n\n\npH of the solution\n\n\n\npH of the solution\n\n\n\npH of the solution\n\n\n\npH of the solution\n\n\n\npH of the solution\n\n\n\npH of the solution\n\n\n\npH', 'Cleaning up\n\n\nWashing glassware\n\n\nWashing glassware\n\n\nTransferring liquids\n\n\nTransferring liquids\n\n\nTransferring liquids\n\n\nTransferring liquids\n\n\nTransferring liquids\n\n\nTransferring liquids\n\n\nTransferring liquids\n\n\nTransferring liquids\n\n\nTransferring liquids\n\n\nTransferring liquids\n\n\nTransferring liquids\n\n\nTransferring liquids\n\n\nTransferring liquids\n\n\nTransferring liquids\n\n\nTransferring liquids\n\n\nTransferring liquids\n\n\nTransferring liquids']",c,0,2.63,5,300
03c9278f29d14b009f1639a7c121e0b1,ec08b68e1525971ed114f30e0548c145,10,Davinci,32,32,5,lm,Miscellany,In the phrase 'Y2K' what does 'K' stand for?,millennium,computer code,catastrophe,thousand,d,thousand,1,"['Y2K meaning', 'k mean in ""Y2K""', 'k mean thousand in Y2K term?', 'Y2K meaning', 'phrase Y2K what does it stand for']","['meaning;keyword', 'meaning;keyword', 'meaning;question', 'meaning;keyword', 'close;others']","['Y2K meaning\n\nY2K meaning\n\nY2K meaning\n\nY2K meaning\n\nY2K meaning\n\nY2K meaning\n\nY2K meaning\n\nY2K meaning\n\nY2K meaning\n\nY2K meaning\n\nY2K meaning\n\nY2K meaning\n\nY2K meaning\n\nY2K meaning\n\nY2K meaning\n\nY2K meaning\n\nY2K', 'The ""Y2K"" problem was a computer glitch that occurred when the year 2000 was reached. It was a problem because the computers were not able to recognize the year 2000 as a valid year.\n\n\n\nThe year 1900 was the last year of the 19th century, and the year 2000 was the first year of the 21st century.\n\n\n\nThe problem was that the computer programs were not able to recognize the 2000 as a valid year. So, when the year 2000', '4. The Chinese zodiac is based on a 12-year cycle. What is the order of the animals in the zodiac cycle?\n\n\n\n\n\n5. Which country is known as the Land of the Midnight Sun?\n\n\n\n\n\n6. What is the name of the first man-made satellite?\n\n\n\n\n\n7. What is the name of the first artificial satellite in the solar system?\n\n\n\n\n\n8. What is the name of the first lunar', 'Y2K Meaning\n\nY2K meaning\n\nY2K meaning\n\nY2K meaning\n\nY2K meaning\n\nY2K meaning\n\nY2K meaning\n\nY2K meaning\n\nY2K meaning\n\nY2K meaning\n\nY2K meaning\n\nY2K meaning\n\nY2K meaning\n\nY2K meaning\n\nY2K meaning\n\nY2K meaning\n\nY', 'Y2K is the abbreviation for the year 2000, the year in which the computer systems of many companies, governments and other organizations will be replaced by new systems or upgraded versions of existing systems.\n\n\n\nY2K is the abbreviation for the year 2000, the year in which the computer systems of many companies, governments and other organizations will be replaced by new systems or upgraded versions of existing systems.\n\nThe year 2000 is a leap year.\n\nWhat is the']",d,1,1.71,6,196
03c9c0dc8fcb42c6bf235545053261ea,d77d60e197e1bd06f21d78aef779b54c,0,InstructDavinci,60,60,23,lm,Nutrition,"On a global scale, trends are suggesting that with rising incomes and urbanization we are seeing a rise in which food commodities?",Roots and Tubers,Fruits and vegetables,Beans and lentils,Meat and Dairy products,d,Meat and Dairy products,1,"['which food commodities is seeing a rise on a global scale? roots and tubers, fruits and vegetables, beans and lentils, meat and dairy']",['question'],['Fruits and vegetables are seeing a rise on a global scale.'],b,0,1.14,1,154
03c9c0dc8fcb42c6bf235545053261ea,d77d60e197e1bd06f21d78aef779b54c,1,InstructDavinci,60,60,20,lm,Nutrition,"When using bioelectrical impedance for measuring body composition, why does an electrical current travel faster through muscle than it does through fat?",Muscle contains less water than fat,Muscle contains more water than fat,Muscle weighs more than fat,Muscle weighs less than fat,b,Muscle contains more water than fat,1,"['why does electric travel faster through muscle than fat? muscle has less water, muscle has more water, muscle weighs more, muscle weighs less']",['question'],['Electricity travels faster through muscle than fat because muscle has less water.'],a,0,1.1,1,157
03c9c0dc8fcb42c6bf235545053261ea,d77d60e197e1bd06f21d78aef779b54c,2,InstructDavinci,60,60,29,lm,College chemistry,The fact that the infrared absorption frequency of deuterium chloride (DCl) is shifted from that of hydrogen chloride (HCl) is due to the differences in their,electron distribution,dipole moment,force constant,reduced mass,d,reduced mass,1,"['The fact that the infrared absorption frequency of deuterium chloride (DCl) is shifted from that of hydrogen chloride (HCl) is due to the differences in their: electron distribution, dipole moment, force constant, reduced mass']",['close;choices'],"['The electron distribution, dipole moment, and force constant are all factors that contribute to the infrared absorption frequency of molecules. Deuterium chloride has a different electron distribution than hydrogen chloride, which results in a different dipole moment. Additionally, the force constant of deuterium chloride is different than that of hydrogen chloride, which also contributes to the difference in their infrared absorption frequencies. Finally, the reduced mass of deuterium chloride is different than the reduced mass of hydrogen chloride, which also']",b,0,0.85,1,80
03c9c0dc8fcb42c6bf235545053261ea,d77d60e197e1bd06f21d78aef779b54c,3,InstructDavinci,60,60,24,lm,College chemistry,Cobalt-60 is used in the radiation therapy of cancer and can be produced by bombardment of cobalt-59 with which of the following?,Neutrons,Alpha particles,Beta particles,X-rays,a,Neutrons,1,"['Cobalt-60 is used in the radiation therapy of cancer and can be produced by bombardment of cobalt-59 with which of the following? neutrons, alpha particles, beta particles, x-rays']",['close;question'],['Neutrons'],a,1,0.28,1,58
03c9c0dc8fcb42c6bf235545053261ea,d77d60e197e1bd06f21d78aef779b54c,4,InstructDavinci,60,60,15,lm,US foreign policy,"International trade will almost always benefit both countries, so why do countries try to protect their own firms from exposure to the world market?",Irrationality on the part of the leadership,"Costs of free trade are concentrated, but benefits are dispersed",Regime type,International conflict prevents trade,b,"Costs of free trade are concentrated, but benefits are dispersed",1,"['International trade will almost always benefit both countries, so why do countries try to protect their own firms from exposure to the world market? irrational leadership, concentrated costs and dispersed benefits, regime type, international conflict']",['close;question'],"['1. Irrational leadership: Leaders may pursue protectionist policies for reasons that have nothing to do with economics, such as political favoritism or the desire to protect domestic firms from foreign competition.\n\n2. Concentrated costs and dispersed benefits: Protectionist policies often benefit a small number of firms or workers at the expense of the majority of consumers and producers. This is because the costs of protectionism are often concentrated in specific industries, while the benefits are spread out across the economy.']",a,0,1.17,1,122
03c9c0dc8fcb42c6bf235545053261ea,d77d60e197e1bd06f21d78aef779b54c,5,InstructDavinci,60,60,30,attn,attention,"Attention Check Question! Please select the answer that says ""Pick Me! :)"".",Blue,Carrot,Pick Me! :),Gold,c,Pick Me! :),0,[],[],[],c,1,0.01,0,2
03c9c0dc8fcb42c6bf235545053261ea,d77d60e197e1bd06f21d78aef779b54c,6,InstructDavinci,60,60,0,ctrl,Miscellany,During what war did Francis Scott Key write the words to 'The Star-Spangled Banner'?,American Revolution,War of 1812,Civil War,World War I,b,War of 1812,0,[],[],[],a,0,0.06,0,2
03c9c0dc8fcb42c6bf235545053261ea,d77d60e197e1bd06f21d78aef779b54c,7,InstructDavinci,60,60,6,ctrl,Global facts,"As of 2015, about what percentage of the world’s land area is forested?",15%,30%,45%,60%,b,30%,0,[],[],[],b,1,0.01,0,2
03c9c0dc8fcb42c6bf235545053261ea,d77d60e197e1bd06f21d78aef779b54c,8,InstructDavinci,60,60,16,ctrl,US foreign policy,What were the 'open-door notes'?,An American declaration that the US was always open to Chinese immigration,"An American proclamation that China should be divided up between the US, Japan and the European empires",An American proclamation that China should be open to US trade and missionaries,An American declaration of support for Chinese economic protectionism,c,An American proclamation that China should be open to US trade and missionaries,0,[],[],[],d,0,0.01,0,2
03c9c0dc8fcb42c6bf235545053261ea,d77d60e197e1bd06f21d78aef779b54c,9,InstructDavinci,60,60,3,ctrl,Miscellany,Which of these is a government agency established to protect investors?,AAA,NBA,SEC,MADD,c,SEC,0,[],[],[],c,1,0.02,0,2
03c9c0dc8fcb42c6bf235545053261ea,d77d60e197e1bd06f21d78aef779b54c,10,InstructDavinci,60,60,11,ctrl,Global facts,Which of the following is not an element of the redistribution-with-growth policy approach?,minimum wage legislation,land reform,progressive taxation,increased access to education,a,minimum wage legislation,0,[],[],[],d,0,0.03,0,3
03d85630921042559aecacbd8b00a1a8,24fe8f829de6d90f3af5a3cf58bae041,0,InstructDavinci,92,92,6,ctrl,Global facts,"As of 2015, about what percentage of the world’s land area is forested?",15%,30%,45%,60%,b,30%,0,[],[],[],b,1,0.2,0,3
03d85630921042559aecacbd8b00a1a8,24fe8f829de6d90f3af5a3cf58bae041,1,InstructDavinci,92,92,15,ctrl,US foreign policy,"International trade will almost always benefit both countries, so why do countries try to protect their own firms from exposure to the world market?",Irrationality on the part of the leadership,"Costs of free trade are concentrated, but benefits are dispersed",Regime type,International conflict prevents trade,b,"Costs of free trade are concentrated, but benefits are dispersed",0,[],[],[],b,1,0.02,0,2
03d85630921042559aecacbd8b00a1a8,24fe8f829de6d90f3af5a3cf58bae041,2,InstructDavinci,92,92,8,ctrl,Global facts,"As of 2017, what fraction of the population in India used the internet in the past three months?",11%,26%,41%,56%,b,26%,0,[],[],[],c,0,0.02,0,2
03d85630921042559aecacbd8b00a1a8,24fe8f829de6d90f3af5a3cf58bae041,3,InstructDavinci,92,92,28,ctrl,College chemistry,A buffer is made from equal concentrations of a weak acid and its conjugate base. Doubling the volume of the buffer solution by adding water has what effect on its pH?,It has little effect.,It significantly increases the pH.,It significantly decreases the pH.,It changes the pH asymptotically to the pKa of the acid.,a,It has little effect.,0,[],[],[],a,1,0.03,0,2
03d85630921042559aecacbd8b00a1a8,24fe8f829de6d90f3af5a3cf58bae041,4,InstructDavinci,92,92,3,ctrl,Miscellany,Which of these is a government agency established to protect investors?,AAA,NBA,SEC,MADD,c,SEC,0,[],[],[],c,1,0.02,0,2
03d85630921042559aecacbd8b00a1a8,24fe8f829de6d90f3af5a3cf58bae041,5,InstructDavinci,92,92,30,attn,attention,"Attention Check Question! Please select the answer that says ""Pick Me! :)"".",Blue,Carrot,Pick Me! :),Gold,c,Pick Me! :),0,[],[],[],c,1,0.03,0,2
