name,session_id,worker_id,order_id,model,prompt,elapsed_time,document,original_summary,original_normalized_summary,original_length,original_consistency,original_coherency,original_relevance,edited_summary,edited_normalized_summary,edited_length,edited_consistency,edited_coherency,edited_relevance,distance,original_consistency_third_party,original_relevance_third_party,original_coherency_third_party,edited_consistency_third_party,edited_relevance_third_party,edited_coherency_third_party
summary-03,247686518e064000abb326058418775b,cb9564a86f8e811b6767152bd6bf090c,3,Jumbo,3,0.71,"Watson, who joined from Wigan in January 2015, had been halfway through a two-year deal at Vicarage Road. The 30-year-old midfielder has featured heavily for Watford in their first season back in the Premier League, making a total of 41 appearances. Watford finished the season eight points clear of relegation, and have all-but secured a 13th-place finish. They will only slip to 14th if Bournemouth win their rearranged game at Manchester United on Tuesday by a 10-goal margin or better.",Watford midfielder Ben Watson has left the club after his contract expired.,watford midfielder ben watson has left the club after his contract expired,12,False,True,True,"Watford midfielder Ben Watson was halfway through a two-year deal with the club, who are now 13th in the Premier League.",watford midfielder ben watson was halfway through a twoyear deal with the club who are now 13th in the premier league,21,True,True,True,16,,,,,,
summary-04,247686518e064000abb326058418775b,cb9564a86f8e811b6767152bd6bf090c,4,Jumbo,3,0.5,"Ms Brewster, 32, from Sheffield, was among 22 people who died in the suicide bomb attack at an Ariana Grande concert at Manchester Arena in May. She had gone to the gig with her sister and niece, both of whom were injured in the explosion. The service will feature a number of Ms Brewster's favourite songs along with tributes from family and friends. Ms Brewster was a former City School pupil who worked for Irwin Mitchell Solicitors and insurance company Aviva. The family have asked for donations to be sent to the Royal Manchester Children's Hospital.","The funeral of 22-year-old Georgina ""Gina"" Brewster, who was killed in the Manchester Arena attack, will be held in Sheffield.",the funeral of 22yearold georgina gina brewster who was killed in the manchester arena attack will be held in sheffield,20,True,True,True,"The funeral of 22-year-old Georgina ""Gina"" Brewster, who was killed in the Manchester Arena attack during an Ariana Grande concert, will be held in Sheffield.",the funeral of 22yearold georgina gina brewster who was killed in the manchester arena attack during an ariana grande concert will be held in sheffield,25,True,True,True,6,0.0,2.67,4.33,0.0,3.67,4.67
summary-05,247686518e064000abb326058418775b,cb9564a86f8e811b6767152bd6bf090c,5,Jumbo,3,0.66,"Huge Holiday Homes wanted to convert the building in the centre of Dolgellau into apartments catering for up to 56 visitors. A spokesman said the bunk bed style hostel would attract family holidays. But the application was turned down by Snowdonia National Park Authority's planning committee. The committee chairman cast the deciding vote, after members were split on the application. Objectors to the development at Lombard Street listed potential parking and noise problems, but those in favour said the hostel would bring trade to local shops. Dolgellau mayor Dyfrig Siencyn said residents were concerned there could be hen and stag parties with no supervision on site.",A planning committee has rejected plans for a huge holiday hostel in Dolgellau.,a planning committee has rejected plans for a huge holiday hostel in dolgellau,13,True,True,True,"A planning committee has rejected plans for a huge holiday hostel in Dolgellau, citing parking and noise problems relating to potentially-wild parties.",a planning committee has rejected plans for a huge holiday hostel in dolgellau citing parking and noise problems relating to potentiallywild parties,22,True,True,True,10,,,,,,
summary-06,247686518e064000abb326058418775b,cb9564a86f8e811b6767152bd6bf090c,6,Jumbo,3,2.93,"Sung, the world number 202, carded a one-under-par 71 to end the third round at 17 under. Fowler started the day seven shots behind Sung, but his five-under-par 67 brought him back into contention. Englishmen Justin Rose and Andy Sullivan both finished on five under, 12 shots off the lead. Fowler and Sullivan carded the joint-second lowest scores of the day with their five-under rounds, this was despite the American dropping three shots in the final two holes. Sung has missed the cut in five of his nine PGA Tour events in 2017, but a win in Houston would see him claim his first PGA Tour victory and also secure him a place in next week's Masters at Augusta.","Sung, the world number 202, carded a one-under-par 71 to end the third round at 17 under.",sung the world number 202 carded a oneunderpar 71 to end the third round at 17 under,17,True,True,True,"Sung, the world number 202, carded a one-under-par 71 to end the third round at 17 under, bringing himself back into contention.",sung the world number 202 carded a oneunderpar 71 to end the third round at 17 under bringing himself back into contention,22,True,True,True,6,,,,,,
summary-07,247686518e064000abb326058418775b,cb9564a86f8e811b6767152bd6bf090c,7,Jumbo,3,0.26,"Birkenhead man Barry O'Reilly, 37, died after an incident at Claremont Farm on Clatterbridge Old Road in Spital, Wirral, on 15 May. Christopher Davies, 28, of Town Lane, Higher Bebington, pleaded not guilty via videolink at Liverpool Crown Court. He was further remanded in custody to await trial on 7 November. Merseyside Police said a post-mortem examination found the preliminary cause of Mr O'Reilly's death was drowning.","A 28-year-old man has denied murdering Birkenhead man Barry O'Reilly, 37, who died after an incident at Claremont Farm on Clatterbridge Old Road in Spital, Wirral.",a 28yearold man has denied murdering birkenhead man barry oreilly 37 who died after an incident at claremont farm on clatterbridge old road in spital wirral,26,True,True,True,"A 28-year-old man has denied murdering Birkenhead man Barry O'Reilly, 37, who died after an incident that led to his drowning at Claremont Farm on Clatterbridge Old Road in Spital, Wirral.",a 28yearold man has denied murdering birkenhead man barry oreilly 37 who died after an incident that led to his drowning at claremont farm on clatterbridge old road in spital wirral,31,True,True,True,5,,,,,,
summary-08,247686518e064000abb326058418775b,cb9564a86f8e811b6767152bd6bf090c,8,Jumbo,3,0.28,"Referee Bobby Madden inspected the pitch around 13:15 GMT and judged it to be unfit for play, with several areas covered in water. Hearts, 11 points clear in third place but 11 behind Aberdeen in second, were aiming to continue a run of just one defeat in 16 Premiership matches. They face Hibs in a Scottish Cup fifth-round replay at Easter Road on Tuesday. Partick, in eighth place after a run of just two defeats in 10 matches, host Aberdeen in the Premiership next Friday, 19 February.",Hearts' Premiership match against Partick Thistle has been postponed due to a waterlogged pitch.,hearts premiership match against partick thistle has been postponed due to a waterlogged pitch,14,True,True,True,Hearts' Premiership match against Partick Thistle has been postponed due to a waterlogged pitch.  A replay against Hibs remains scheduled for Tuesday.,hearts premiership match against partick thistle has been postponed due to a waterlogged pitch  a replay against hibs remains scheduled for tuesday,22,True,True,True,8,,,,,,
summary-09,247686518e064000abb326058418775b,cb9564a86f8e811b6767152bd6bf090c,9,Jumbo,3,0.32,"The music mogul was in the master bedroom of the house in Holland Park when the alleged raid took place on 4 December last year at 01:30 GMT. Cowell's girlfriend Lauren Silverman, their son Eric, two, a nanny and a security guard were also at the home. Darren February, 32, appeared at Hammersmith Magistrates' Court earlier charged with burglary. Mr February, of no fixed address, was ordered to next appear at Isleworth Crown Court on 2 November. Prosecutor Kevin Christie said jewellery, watches and two passports were taken from a safe. The passports were later recovered.",Music mogul Simon Cowell's home was burgled while he was asleep.,music mogul simon cowells home was burgled while he was asleep,11,True,True,True,Music mogul Simon Cowell's home was burgled while he was asleep.  The burglar was caught and Cowell's stolen passports returned.,music mogul simon cowells home was burgled while he was asleep  the burglar was caught and cowells stolen passports returned,20,True,True,True,9,,,,,,
summary-00,6c7bf48a423c41bc928646bb88d09182,9cf53ac9fa5451a616d830159b722731,0,InstructBabbage,6,0.42,"The RSPCA is trying to trace a ""middle aged"" woman who was seen kicking the animal at the bottom of flats in Sprignall, Peterborough, at about 14:30 BST on Tuesday. ""She was screaming 'stupid hedgehog' and kicking the little animal around continuously,"" RSPCA inspector Justin Stubbs said. The hedgehog was treated at a vet's but put down the following day. Mr Stubbs said the animal was ""twitching, clearly in great agony"". ""There is no excuse for such a senseless attack, and I can't imagine what could have motivated it,"" he said. ""I have known cases like this with young children who don't know any better, but for a grown woman to attack an animal like this is just baffling.""","A hedgehog is being treated at a vet's after being kicked by a woman at a flat in Sprignall, Peterborough.",a hedgehog is being treated at a vets after being kicked by a woman at a flat in sprignall peterborough,20,True,True,False,"A hedgehog was being treated at a vet's after being kicked by a woman at a flat in Sprignall, Peterborough, but was put down the following day.",a hedgehog was being treated at a vets after being kicked by a woman at a flat in sprignall peterborough but was put down the following day,27,True,True,True,9,0.33,4.33,4.33,1.0,3.67,4.67
summary-01,6c7bf48a423c41bc928646bb88d09182,9cf53ac9fa5451a616d830159b722731,1,InstructBabbage,6,0.02,"Buckner, the chief executive of British Triathlon, will succeed David Sparkes when he retires in June after 23 years with British Swimming. British swimmers won six Olympic medals in Rio, their best haul since 1908, and another 47 in the Paralympics. ""I'm excited to be part of this high-performing sport,"" said Buckner. ""I have really enjoyed my time at British Triathlon and look forward to watching the sport's continued progression in the years ahead.""","Buckner, the CEO of British Triathlon, will succeed David Sparkes when he retires in June after 23 years with British Swimming.",buckner the ceo of british triathlon will succeed david sparkes when he retires in june after 23 years with british swimming,21,True,True,True,"Buckner, the CEO of British Triathlon, will succeed David Sparkes when he retires in June after 23 years with British Swimming.",buckner the ceo of british triathlon will succeed david sparkes when he retires in june after 23 years with british swimming,21,True,True,True,0,,,,,,
summary-02,6c7bf48a423c41bc928646bb88d09182,9cf53ac9fa5451a616d830159b722731,2,InstructBabbage,6,0.04,"The New Zealand international will play five matches as a replacement for Kiwi Corey Anderson, who was injured in the recent Test series against England. The 34-year-old has scored 263 runs in 15 T20 internationals at an average of 32.87 while he averages 29.45 in ODIs with a highest score of 170 not out. ""Luke is a quality player with plenty of international experience,"" said director of cricket Matt Maynard. Ronchi will join Somerset ahead of the T20 Blast match at Middlesex on 26 June. He will also be available for selection for the home fixtures against Glamorgan (28 June) and Gloucestershire (3 July) and the away games at Kent (10 July) and Surrey (17 July).","New Zealand international Luke Ronchi will play five matches as a replacement for Kiwi Corey Anderson, who was injured in the recent Test series against England.",new zealand international luke ronchi will play five matches as a replacement for kiwi corey anderson who was injured in the recent test series against england,26,True,True,True,"New Zealand international Luke Ronchi will play five matches as a replacement for Kiwi Corey Anderson, who was injured in the recent Test series against England.",new zealand international luke ronchi will play five matches as a replacement for kiwi corey anderson who was injured in the recent test series against england,26,True,True,True,0,1.0,4.67,5.0,1.0,4.67,5.0
summary-03,6c7bf48a423c41bc928646bb88d09182,9cf53ac9fa5451a616d830159b722731,3,InstructBabbage,6,0.52,"He has scored four goals in eight games since his move to the Lilywhites. Ex-Blackpool player Barkhuizen, 23, had mutually cancelled his deal at the Shrimps but the League Two side did get compensation for the transfer. ""Let's not forget we've sold our best player who is now pulling up trees at Preston,"" said Bentley. He told BBC Radio Lancashire: ""For me, the people who negotiated that deal could've done better. ""Without going too in depth because he could easily get a move again, there are certain things that I was unhappy with in that department.""",He has scored four goals in eight games since his move to the Lilywhites.,he has scored four goals in eight games since his move to the lilywhites,14,True,True,False,Ex-Blackpool player Barkhuizen has scored four goals in eight games since his move to the Lilywhites.,exblackpool player barkhuizen has scored four goals in eight games since his move to the lilywhites,16,True,True,True,3,,,,,,
summary-04,6c7bf48a423c41bc928646bb88d09182,9cf53ac9fa5451a616d830159b722731,4,InstructBabbage,6,0.02,"Wasps finished top of this season's Premiership and defeated Leicester 21-20 on Saturday to set up this weekend's decider against Exeter. The Wasps squad includes British & Irish Lions inclusions Elliott Daly and James Haskell. Joe Launchbury and Jimmy Gopperth are also part of the Wasps squad. Coach Dai Young can also call on the likes of England players Danny Cipriani and Christian Wade, as well as overseas stars such as Willie Le Roux. The fixture will provide Ulster supporters with the opportunity to see new signings John Cooney and Schalk van der Merwe for the first time. For the latest rugby union news follow @bbcrugbyunion on Twitter.",Wasps finished top of this season's Premiership and defeated Leicester 21-20 on Saturday to set up this weekend's decider against Exeter.,wasps finished top of this seasons premiership and defeated leicester 2120 on saturday to set up this weekends decider against exeter,21,True,True,True,Wasps finished top of this season's Premiership and defeated Leicester 21-20 on Saturday to set up this weekend's decider against Exeter.,wasps finished top of this seasons premiership and defeated leicester 2120 on saturday to set up this weekends decider against exeter,21,True,True,True,0,1.0,4.33,5.0,1.0,4.33,5.0
summary-05,6c7bf48a423c41bc928646bb88d09182,9cf53ac9fa5451a616d830159b722731,5,InstructBabbage,6,0.49,"The 31-year-old Portugal captain has been continually linked with former club Manchester United, who sold him to Real in 2008, and Paris St-Germain. ""I want to stay here two more years. The two years I'm talking about take me to the end of my contract,"" he is quoted as saying by AS. ""And the future, we'll see."" Ronaldo was speaking at an event to collect his Pichichi trophy, which he won for being last season's La Liga top scorer with 48. ""This is the best league in the world, although I also played in the Premier League,"" he said. ""It's fantastic, competitive, and with great players. It is a privilege to leave my mark on it.""","Portugal captain Ronaldo has been continuously linked with former club Manchester United, who sold him to Real in 2008, and Paris St-Germain.",portugal captain ronaldo has been continuously linked with former club manchester united who sold him to real in 2008 and paris stgermain,22,True,True,False,"Portugal captain Ronaldo has been continuously linked with former club Manchester United, who sold him to Real in 2008, and Paris St-Germain. Ronaldo was speaking at an event to collect his Pichichi trophy for being last season's La Liga top scorer with 48.",portugal captain ronaldo has been continuously linked with former club manchester united who sold him to real in 2008 and paris stgermain ronaldo was speaking at an event to collect his pichichi trophy for being last seasons la liga top scorer with 48,43,True,True,True,21,1.0,4.0,4.33,0.67,4.33,4.33
summary-06,6c7bf48a423c41bc928646bb88d09182,9cf53ac9fa5451a616d830159b722731,6,InstructBabbage,6,0.17,"Minor scorch damage was caused to the rear bathroom window of the property in Golf Terrace at about 19:30 GMT on Saturday. The male occupant had only recently moved into the house. The police have said they are still working to establish a motive and have appealed for anyone with information to contact them. Sinn FÃ©in's John O'Dowd said it was a worrying development following a series of attacks in Banbridge. ""There is growing concern in the community that there is a level of coordination behind these attacks,"" he said. ""Those behind them don't care that they seriously injure or kill the intended target or someone in the vicinity.""",Minor scorch damage was caused to the rear bathroom window of the property in Golf Terrace at about 19:30 GMT on Saturday.,minor scorch damage was caused to the rear bathroom window of the property in golf terrace at about 1930 gmt on saturday,22,True,True,False,Minor scorch damage was caused to the rear bathroom window of the property in Golf Terrace at about 19:30 GMT on Saturday. Sinn FÃin's John O'Dowd said it was a worrying development following a series of attacks in Banbridge.,minor scorch damage was caused to the rear bathroom window of the property in golf terrace at about 1930 gmt on saturday sinn fãins john odowd said it was a worrying development following a series of attacks in banbridge,39,True,True,True,17,,,,,,
